"106年08月01日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2883  ","開發金          ","21,636,000","5,431,000","16,205,000",
" ",="00637L","元大滬深300正2  ","19,687,000","4,514,000","15,173,000",
" ","6116  ","彩晶            ","17,773,000","2,793,000","14,980,000",
" ","3702  ","大聯大          ","10,744,000","1,248,000","9,496,000",
" ",="00633L","富邦上証正2     ","8,419,000","586,000","7,833,000",
"*","2454  ","聯發科          ","9,897,000","4,402,388","5,494,612",
" ","2812  ","台中銀          ","6,909,857","2,179,000","4,730,857",
"*","2884  ","玉山金          ","14,883,566","10,714,300","4,169,266",
" ","2885  ","元大金          ","11,586,482","7,561,000","4,025,482",
" ","2382  ","廣達            ","6,618,000","2,593,000","4,025,000",
" ","2337  ","旺宏            ","6,924,000","3,386,000","3,538,000",
" ","2633  ","台灣高鐵        ","3,458,000","211,000","3,247,000",
" ","2352  ","佳世達          ","4,276,000","1,086,000","3,190,000",
" ","2823  ","中壽            ","6,037,000","2,957,832","3,079,168",
" ",="00672L","元大S&P原油正2  ","3,100,000","68,000","3,032,000",
" ","2002  ","中鋼            ","9,440,079","6,518,000","2,922,079",
" ","2324  ","仁寶            ","4,748,000","2,244,000","2,504,000",
"*","4938  ","和碩            ","5,162,000","2,881,000","2,281,000",
" ","2014  ","中鴻            ","2,383,000","113,000","2,270,000",
" ","2615  ","萬海            ","2,351,605","119,000","2,232,605",
" ","1314  ","中石化          ","5,034,027","2,847,350","2,186,677",
"*","2892  ","第一金          ","18,614,000","16,437,259","2,176,741",
" ","2311  ","日月光          ","13,978,000","11,960,000","2,018,000",
" ","2887  ","台新金          ","4,046,000","2,032,854","2,013,146",
" ",="00639 ","富邦深100       ","1,947,000","0","1,947,000",
" ","1312  ","國喬            ","3,333,000","1,387,000","1,946,000",
" ",="03319P","綠悅群益6B售04  ","1,830,000","0","1,830,000",
" ","5264  ","鎧勝-KY         ","2,271,000","460,000","1,811,000",
" ","1303  ","南亞            ","4,207,000","2,514,000","1,693,000",
" ","6176  ","瑞儀            ","2,597,000","960,000","1,637,000",
" ","1215  ","卜蜂            ","1,709,000","111,100","1,597,900",
" ","2344  ","華邦電          ","6,844,000","5,276,000","1,568,000",
" ","2801  ","彰銀            ","2,366,000","882,000","1,484,000",
" ",="00642U","元大S&P石油     ","1,456,000","4,000","1,452,000",
" ","6285  ","啟碁            ","1,515,000","71,000","1,444,000",
" ","2355  ","敬鵬            ","1,498,000","83,000","1,415,000",
"*","3045  ","台灣大          ","2,434,000","1,082,000","1,352,000",
" ","3019  ","亞光            ","2,117,000","867,000","1,250,000",
" ","2377  ","微星            ","2,055,648","832,000","1,223,648",
" ","3706  ","神達            ","1,296,000","210,000","1,086,000",
"*","2448  ","晶電            ","4,221,000","3,189,000","1,032,000",
" ","2408  ","南亞科          ","6,522,428","5,552,000","970,428",
" ","1718  ","中纖            ","996,000","53,000","943,000",
" ","3682  ","亞太電          ","1,359,000","507,000","852,000",
" ","2340  ","光磊            ","1,108,000","288,000","820,000",
" ","1710  ","東聯            ","995,279","177,000","818,279",
" ","1605  ","華新            ","1,278,000","544,000","734,000",
" ","3023  ","信邦            ","722,000","0","722,000",
" ","2345  ","智邦            ","1,053,712","355,000","698,712",
" ","4915  ","致伸            ","1,254,000","557,000","697,000",
" ","3311  ","閎暉            ","764,000","85,000","679,000",
" ","6412  ","群電            ","757,000","81,000","676,000",
" ",="006205","富邦上証        ","723,000","55,000","668,000",
" ","4976  ","佳凌            ","736,000","99,000","637,000",
" ","2915  ","潤泰全          ","1,450,056","815,000","635,056",
" ","4532  ","瑞智            ","674,000","85,000","589,000",
" ","1102  ","亞泥            ","1,509,000","957,000","552,000",
" ","1560  ","中砂            ","719,000","168,000","551,000",
" ","2357  ","華碩            ","951,000","423,760","527,240",
" ","1907  ","永豐餘          ","689,000","183,000","506,000",
" ",="00677U","富邦VIX         ","1,000,000","500,000","500,000",
" ","6271  ","同欣電          ","679,000","188,000","491,000",
" ","8926  ","台汽電          ","483,000","7,000","476,000",
" ","2029  ","盛餘            ","696,000","226,000","470,000",
" ","1504  ","東元            ","1,973,000","1,507,000","466,000",
" ","2841  ","台開            ","516,000","57,000","459,000",
" ","1210  ","大成            ","656,000","199,000","457,000",
" ","2886  ","兆豐金          ","5,712,000","5,258,700","453,300",
" ","1715  ","萬洲            ","497,000","47,000","450,000",
" ","2395  ","研華            ","879,689","432,000","447,689",
" ",="006207","FH滬深          ","543,000","97,000","446,000",
" ","4977  ","眾達-KY         ","787,000","346,000","441,000",
" ","2889  ","國票金          ","444,000","9,000","435,000",
" ","2601  ","益航            ","499,000","66,000","433,000",
" ","2444  ","友旺            ","428,000","20,000","408,000",
" ","2405  ","浩鑫            ","465,000","63,000","402,000",
" ","2485  ","兆赫            ","402,000","23,000","379,000",
" ","3645  ","達邁            ","435,000","60,000","375,000",
" ","2477  ","美隆電          ","371,000","1,000","370,000",
" ","2030  ","彰源            ","553,000","186,000","367,000",
" ","2404  ","漢唐            ","403,000","36,000","367,000",
"*","5880  ","合庫金          ","1,831,000","1,472,000","359,000",
" ","2049  ","上銀            ","1,109,000","752,153","356,847",
" ","1305  ","華夏            ","696,000","347,000","349,000",
" ","6108  ","競國            ","374,000","27,000","347,000",
" ","2913  ","農林            ","406,000","66,000","340,000",
" ","1906  ","寶隆            ","416,000","83,000","333,000",
" ","6139  ","亞翔            ","431,000","101,000","330,000",
" ","5269  ","祥碩            ","405,000","81,000","324,000",
" ","9945  ","潤泰新          ","1,372,000","1,062,000","310,000",
" ","2908  ","特力            ","325,000","16,000","309,000",
" ","6282  ","康舒            ","303,000","1,000","302,000",
" ","2504  ","國產            ","447,000","147,000","300,000",
"*","2105  ","正新            ","1,509,000","1,214,000","295,000",
" ","2006  ","東和鋼鐵        ","323,000","33,000","290,000",
" ","2393  ","億光            ","647,000","359,000","288,000",
" ",="00635U","元大S&P黃金     ","283,000","0","283,000",
" ","5522  ","遠雄            ","350,000","69,000","281,000",
" ","1609  ","大亞            ","469,000","195,000","274,000",
" ","2441  ","超豐            ","464,000","195,000","269,000",
" ","3596  ","智易            ","435,000","170,000","265,000",
" ","3003  ","健和興          ","355,000","93,000","262,000",
" ","2406  ","國碩            ","392,000","135,000","257,000",
" ","2027  ","大成鋼          ","266,000","10,060","255,940",
" ","5305  ","敦南            ","420,000","165,000","255,000",
" ","1262  ","綠悅-KY         ","858,000","607,000","251,000",
" ","2457  ","飛宏            ","350,000","101,000","249,000",
" ","1714  ","和桐            ","261,000","15,000","246,000",
" ",="00631L","元大台灣50正2   ","244,000","0","244,000",
" ",="0050  ","元大台灣50      ","243,000","2,000","241,000",
" ","2505  ","國揚            ","241,000","0","241,000",
" ","1712  ","興農            ","236,000","0","236,000",
" ","2369  ","菱生            ","236,000","0","236,000",
" ","1326  ","台化            ","1,618,908","1,383,400","235,508",
" ","1789  ","神隆            ","312,000","77,000","235,000",
" ","2809  ","京城銀          ","529,000","299,000","230,000",
" ","2474  ","可成            ","3,076,070","2,846,500","229,570",
" ",="00665L","富邦H股正2      ","233,000","7,000","226,000",
" ","1310  ","台苯            ","303,000","80,000","223,000",
" ","1227  ","佳格            ","505,000","283,000","222,000",
" ","2515  ","中工            ","244,000","34,000","210,000",
" ","3514  ","昱晶            ","234,000","24,000","210,000",
" ","3533  ","嘉澤            ","368,000","164,000","204,000",
" ","3698  ","隆達            ","239,000","36,000","203,000",
" ","1308  ","亞聚            ","208,000","6,000","202,000",
" ","2392  ","正崴            ","235,000","33,000","202,000",
" ","4551  ","智伸科          ","257,000","55,000","202,000",
" ",="060391","可成元大6B購06  ","200,000","0","200,000",
