"106年07月19日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00637L","元大滬深300正2  ","0","0","0","35,856,000","16,810,000","19,046,000","35,856,000","16,810,000","19,046,000",
"2352  ","佳世達          ","2,032,000","0","2,032,000","6,139,000","1,503,000","4,636,000","8,171,000","1,503,000","6,668,000",
"2303  ","聯電            ","193,000","4,000","189,000","7,089,978","804,000","6,285,978","7,282,978","808,000","6,474,978",
="00633L","富邦上証正2     ","95,000","540,000","-445,000","10,779,000","5,475,000","5,304,000","10,874,000","6,015,000","4,859,000",
="060391","可成元大6B購06  ","0","0","0","6,163,000","1,473,000","4,690,000","6,163,000","1,473,000","4,690,000",
="060548","瑞儀日盛6B購01  ","0","0","0","4,647,000","65,000","4,582,000","4,647,000","65,000","4,582,000",
="00672L","元大S&P原油正2  ","0","0","0","6,734,000","2,262,000","4,472,000","6,734,000","2,262,000","4,472,000",
="059018","瑞儀凱基6A購01  ","0","0","0","4,508,000","1,026,000","3,482,000","4,508,000","1,026,000","3,482,000",
="057980","大立光凱基69購05","0","0","0","3,515,000","74,000","3,441,000","3,515,000","74,000","3,441,000",
="058550","信錦元大71購01  ","0","0","0","4,019,000","934,000","3,085,000","4,019,000","934,000","3,085,000",
="058963","大立光凱基6A購01","0","0","0","3,186,000","142,000","3,044,000","3,186,000","142,000","3,044,000",
="057987","上銀群益6B購01  ","0","0","0","2,945,000","251,000","2,694,000","2,945,000","251,000","2,694,000",
="061394","台勝科統一71購01","0","0","0","3,461,000","790,000","2,671,000","3,461,000","790,000","2,671,000",
="061356","信錦元大71購02  ","0","0","0","3,619,000","1,031,000","2,588,000","3,619,000","1,031,000","2,588,000",
="056342","富邦金國泰68購01","0","0","0","2,585,000","0","2,585,000","2,585,000","0","2,585,000",
="060275","冠德凱基6B購01  ","0","0","0","2,558,000","95,000","2,463,000","2,558,000","95,000","2,463,000",
"1402  ","遠東新          ","1,044,000","32,000","1,012,000","1,544,000","96,000","1,448,000","2,588,000","128,000","2,460,000",
="062800","敦南元大71購01  ","0","0","0","2,492,000","90,000","2,402,000","2,492,000","90,000","2,402,000",
="057436","樺漢元大69購02  ","0","0","0","2,380,000","0","2,380,000","2,380,000","0","2,380,000",
="057360","上銀凱基69購01  ","0","0","0","3,211,000","905,000","2,306,000","3,211,000","905,000","2,306,000",
="059375","冠德元大6A購01  ","0","0","0","2,303,000","0","2,303,000","2,303,000","0","2,303,000",
="058611","上銀統一6B購02  ","0","0","0","3,038,000","771,000","2,267,000","3,038,000","771,000","2,267,000",
="058170","信錦國泰69購01  ","0","0","0","2,315,000","59,000","2,256,000","2,315,000","59,000","2,256,000",
="060432","鴻海元大71購05  ","0","0","0","2,194,000","0","2,194,000","2,194,000","0","2,194,000",
="061916","上銀凱基6C購01  ","0","0","0","4,573,000","2,437,000","2,136,000","4,573,000","2,437,000","2,136,000",
="062031","群創統一6C購01  ","0","0","0","2,724,000","669,000","2,055,000","2,724,000","669,000","2,055,000",
"2892  ","第一金          ","553,000","1,000","552,000","1,398,000","0","1,398,000","1,951,000","1,000","1,950,000",
="062801","敦南元大71購02  ","0","0","0","1,948,000","0","1,948,000","1,948,000","0","1,948,000",
="061382","台勝科凱基6C購01","0","0","0","2,246,000","386,000","1,860,000","2,246,000","386,000","1,860,000",
="056175","臺股指元大69購13","0","0","0","2,059,000","281,000","1,778,000","2,059,000","281,000","1,778,000",
="056740","聯鈞元富68購01  ","0","0","0","1,785,000","45,000","1,740,000","1,785,000","45,000","1,740,000",
="058947","瑞儀元大6B購01  ","0","0","0","3,591,000","1,870,000","1,721,000","3,591,000","1,870,000","1,721,000",
="060455","信錦中信6B購01  ","0","0","0","1,826,000","124,000","1,702,000","1,826,000","124,000","1,702,000",
="063059","中磊元大71購01  ","0","0","0","3,291,000","1,641,000","1,650,000","3,291,000","1,641,000","1,650,000",
="061438","新唐永豐6C購02  ","0","0","0","2,099,000","512,000","1,587,000","2,099,000","512,000","1,587,000",
="060213","鴻海元大71購02  ","0","0","0","1,525,000","0","1,525,000","1,525,000","0","1,525,000",
="061363","台勝科元大6C購01","0","0","0","1,762,000","237,000","1,525,000","1,762,000","237,000","1,525,000",
="059780","上銀國泰6B購01  ","0","0","0","1,780,000","261,000","1,519,000","1,780,000","261,000","1,519,000",
="059538","冠德元大6A購02  ","0","0","0","1,499,000","0","1,499,000","1,499,000","0","1,499,000",
="061502","寶滬深凱基6C購01","0","0","0","1,497,000","0","1,497,000","1,497,000","0","1,497,000",
="056378","A50正2群益69購02","0","0","0","1,635,000","177,000","1,458,000","1,635,000","177,000","1,458,000",
="0050  ","元大台灣50      ","192,000","537,000","-345,000","1,933,000","131,000","1,802,000","2,125,000","668,000","1,457,000",
="058385","上銀元富69購04  ","0","0","0","1,760,000","308,000","1,452,000","1,760,000","308,000","1,452,000",
="057169","景碩玉山68購01  ","0","0","0","1,829,000","390,000","1,439,000","1,829,000","390,000","1,439,000",
"2337  ","旺宏            ","1,786,000","396,000","1,390,000","0","0","0","1,786,000","396,000","1,390,000",
="061988","樺漢凱基6C購01  ","0","0","0","2,809,000","1,420,000","1,389,000","2,809,000","1,420,000","1,389,000",
="059532","中磊元大6A購01  ","0","0","0","2,102,000","720,000","1,382,000","2,102,000","720,000","1,382,000",
="061936","中磊元富6C購01  ","0","0","0","1,709,000","331,000","1,378,000","1,709,000","331,000","1,378,000",
="061401","台勝科元富6C購01","0","0","0","1,607,000","246,000","1,361,000","1,607,000","246,000","1,361,000",
="058539","上銀元大6B購01  ","0","0","0","2,637,000","1,285,000","1,352,000","2,637,000","1,285,000","1,352,000",
="058647","樺漢兆豐6A購01  ","0","0","0","1,491,000","139,000","1,352,000","1,491,000","139,000","1,352,000",
="056949","大立光凱基68購11","0","0","0","1,514,000","200,000","1,314,000","1,514,000","200,000","1,314,000",
="059223","群創群益6A購04  ","0","0","0","2,958,000","1,649,000","1,309,000","2,958,000","1,649,000","1,309,000",
="061364","台勝科元大6C購02","0","0","0","1,334,000","33,000","1,301,000","1,334,000","33,000","1,301,000",
="058400","中磊凱基6A購01  ","0","0","0","2,788,000","1,488,000","1,300,000","2,788,000","1,488,000","1,300,000",
="0056  ","元大高股息      ","0","0","0","1,299,000","0","1,299,000","1,299,000","0","1,299,000",
="057349","亞光凱基68購04  ","0","0","0","1,683,000","395,000","1,288,000","1,683,000","395,000","1,288,000",
="063102","上銀統一72購01  ","0","0","0","3,514,000","2,234,000","1,280,000","3,514,000","2,234,000","1,280,000",
="062020","創意永豐6C購03  ","0","0","0","1,829,000","580,000","1,249,000","1,829,000","580,000","1,249,000",
="062027","友達兆豐71購02  ","0","0","0","1,353,000","105,000","1,248,000","1,353,000","105,000","1,248,000",
="060528","南亞科凱基6B購03","0","0","0","2,374,000","1,146,000","1,228,000","2,374,000","1,146,000","1,228,000",
="060525","正隆凱基6B購01  ","0","0","0","1,853,000","626,000","1,227,000","1,853,000","626,000","1,227,000",
="057213","中磊永豐68購01  ","0","0","0","1,222,000","0","1,222,000","1,222,000","0","1,222,000",
="00631L","元大台灣50正2   ","0","112,000","-112,000","1,829,000","499,000","1,330,000","1,829,000","611,000","1,218,000",
="062355","群創統一71購04  ","0","0","0","1,270,000","60,000","1,210,000","1,270,000","60,000","1,210,000",
="059704","上銀元富6A購02  ","0","0","0","1,251,000","49,000","1,202,000","1,251,000","49,000","1,202,000",
="062169","南亞科凱基6C購01","0","0","0","1,703,000","513,000","1,190,000","1,703,000","513,000","1,190,000",
="059908","瑞儀元富6B購01  ","0","0","0","1,428,000","248,000","1,180,000","1,428,000","248,000","1,180,000",
="063197","台勝科統一72購01","0","0","0","1,302,000","138,000","1,164,000","1,302,000","138,000","1,164,000",
="062545","鴻海永昌77購02  ","0","0","0","1,746,000","584,000","1,162,000","1,746,000","584,000","1,162,000",
="058993","瑞儀群益6B購01  ","0","0","0","1,145,000","0","1,145,000","1,145,000","0","1,145,000",
="061393","台勝科統一6C購02","0","0","0","1,435,000","300,000","1,135,000","1,435,000","300,000","1,135,000",
="060102","中磊群益6B購01  ","0","0","0","1,143,000","21,000","1,122,000","1,143,000","21,000","1,122,000",
="063039","友達兆豐72購02  ","0","0","0","1,663,000","547,000","1,116,000","1,663,000","547,000","1,116,000",
="061200","高鐵富邦72購01  ","0","0","0","1,112,000","0","1,112,000","1,112,000","0","1,112,000",
="061816","台勝科日盛6C購02","0","0","0","1,167,000","61,000","1,106,000","1,167,000","61,000","1,106,000",
="062875","晶豪科元大71購03","0","0","0","1,212,000","118,000","1,094,000","1,212,000","118,000","1,094,000",
"2412  ","中華電          ","293,000","2,000","291,000","800,000","0","800,000","1,093,000","2,000","1,091,000",
"2377  ","微星            ","734,000","233,000","501,000","914,000","325,000","589,000","1,648,000","558,000","1,090,000",
="060110","上銀元大6C購01  ","0","0","0","1,271,000","182,000","1,089,000","1,271,000","182,000","1,089,000",
="057833","東聯群益6A購01  ","0","0","0","1,151,000","64,000","1,087,000","1,151,000","64,000","1,087,000",
="061958","樺漢統一72購01  ","0","0","0","1,458,000","381,000","1,077,000","1,458,000","381,000","1,077,000",
="061555","友訊凱基6C購01  ","0","0","0","1,084,000","10,000","1,074,000","1,084,000","10,000","1,074,000",
="060940","滬深2X元大6C購01","0","0","0","1,366,000","311,000","1,055,000","1,366,000","311,000","1,055,000",
="059563","華新科日盛6A購01","0","0","0","1,592,000","543,000","1,049,000","1,592,000","543,000","1,049,000",
="062233","上証2X元大6C購06","0","0","0","1,067,000","25,000","1,042,000","1,067,000","25,000","1,042,000",
