"106年05月31日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2603  ","長榮            ","1,232,000","90,000","1,142,000",
" ","1216  ","統一            ","1,083,000","2,000","1,081,000",
" ",="00633L","富邦上証正2     ","819,000","0","819,000",
" ","2748  ","雲品            ","284,000","0","284,000",
" ","2885  ","元大金          ","198,000","0","198,000",
" ",="006207","FH滬深          ","197,000","0","197,000",
" ","1536  ","和大            ","196,000","20,000","176,000",
" ","1319  ","東陽            ","175,000","0","175,000",
" ","2382  ","廣達            ","193,000","18,000","175,000",
" ","2345  ","智邦            ","173,000","0","173,000",
" ",="006205","富邦上証        ","147,000","0","147,000",
" ","3376  ","新日興          ","145,000","0","145,000",
" ","2454  ","聯發科          ","108,000","0","108,000",
" ","2412  ","中華電          ","103,000","0","103,000",
" ","2492  ","華新科          ","100,000","0","100,000",
" ","6176  ","瑞儀            ","100,000","0","100,000",
" ","4919  ","新唐            ","155,000","62,000","93,000",
" ",="0050  ","元大台灣50      ","90,000","0","90,000",
" ","3533  ","嘉澤            ","120,000","31,000","89,000",
" ","5871  ","中租-KY         ","102,000","16,000","86,000",
" ","9941  ","裕融            ","80,000","0","80,000",
" ","2887  ","台新金          ","161,000","90,000","71,000",
" ","3665  ","貿聯-KY         ","93,000","27,000","66,000",
" ","2377  ","微星            ","60,000","0","60,000",
" ","3481  ","群創            ","60,000","2,000","58,000",
" ","8341  ","日友            ","56,000","0","56,000",
" ","5305  ","敦南            ","61,000","7,000","54,000",
" ","8016  ","矽創            ","50,000","0","50,000",
" ","2633  ","台灣高鐵        ","48,000","0","48,000",
" ","6206  ","飛捷            ","38,000","0","38,000",
" ","1560  ","中砂            ","118,000","89,000","29,000",
" ","2207  ","和泰車          ","28,000","0","28,000",
" ","3443  ","創意            ","28,000","0","28,000",
" ","1301  ","台塑            ","246,000","220,000","26,000",
" ","2883  ","開發金          ","24,000","2,000","22,000",
" ","2404  ","漢唐            ","20,000","0","20,000",
" ","2239  ","英利-KY         ","19,000","0","19,000",
" ","2890  ","永豐金          ","18,000","2,000","16,000",
" ","2888  ","新光金          ","15,000","0","15,000",
" ","4927  ","泰鼎-KY         ","15,000","0","15,000",
" ","2228  ","劍麟            ","14,000","0","14,000",
" ","2884  ","玉山金          ","15,000","2,000","13,000",
" ","5880  ","合庫金          ","14,000","2,000","12,000",
" ","2049  ","上銀            ","10,000","0","10,000",
" ","1227  ","佳格            ","6,000","0","6,000",
" ","2823  ","中壽            ","7,000","1,000","6,000",
" ","2379  ","瑞昱            ","5,000","0","5,000",
" ","8464  ","億豐            ","4,000","0","4,000",
" ","6239  ","力成            ","2,000","0","2,000",
" ","5264  ","鎧勝-KY         ","5,000","3,290","1,710",
" ","3702  ","大聯大          ","1,000","0","1,000",
" ","2311  ","日月光          ","80,000","1,336,000","-1,256,000",
" ","6269  ","台郡            ","0","944,000","-944,000",
" ","2882  ","國泰金          ","15,000","810,000","-795,000",
" ","2344  ","華邦電          ","0","508,000","-508,000",
" ","3673  ","TPK-KY          ","0","388,000","-388,000",
" ","1215  ","卜蜂            ","0","353,000","-353,000",
" ","2439  ","美律            ","28,000","380,000","-352,000",
" ","2448  ","晶電            ","228,000","550,000","-322,000",
" ","1905  ","華紙            ","0","300,000","-300,000",
" ","4958  ","臻鼎-KY         ","1,000","295,000","-294,000",
" ","2449  ","京元電子        ","0","285,000","-285,000",
" ","2354  ","鴻準            ","0","257,000","-257,000",
" ","2891  ","中信金          ","31,000","253,000","-222,000",
" ","6213  ","聯茂            ","0","215,000","-215,000",
" ","3044  ","健鼎            ","0","206,000","-206,000",
" ","2915  ","潤泰全          ","0","205,000","-205,000",
" ","1312  ","國喬            ","0","200,000","-200,000",
" ","6196  ","帆宣            ","0","200,000","-200,000",
" ","9945  ","潤泰新          ","0","194,000","-194,000",
" ","2892  ","第一金          ","0","166,000","-166,000",
" ","6285  ","啟碁            ","0","150,000","-150,000",
" ","2880  ","華南金          ","0","147,000","-147,000",
" ","3189  ","景碩            ","0","140,000","-140,000",
" ","1704  ","榮化            ","0","127,000","-127,000",
" ","2801  ","彰銀            ","0","127,000","-127,000",
" ","4938  ","和碩            ","0","125,000","-125,000",
" ","3661  ","世芯-KY         ","0","120,000","-120,000",
" ","2002  ","中鋼            ","21,000","135,000","-114,000",
" ","3532  ","台勝科          ","0","111,000","-111,000",
" ","9904  ","寶成            ","0","110,000","-110,000",
" ","1326  ","台化            ","0","109,000","-109,000",
" ","2330  ","台積電          ","0","108,000","-108,000",
" ","1802  ","台玻            ","0","100,000","-100,000",
" ","2314  ","台揚            ","0","100,000","-100,000",
" ","6505  ","台塑化          ","6,000","100,000","-94,000",
" ","2886  ","兆豐金          ","79,000","172,000","-93,000",
" ","2834  ","臺企銀          ","0","85,000","-85,000",
" ","2881  ","富邦金          ","12,000","94,000","-82,000",
" ","2383  ","台光電          ","0","80,000","-80,000",
" ","8404  ","百和興業-KY     ","0","80,000","-80,000",
" ","9911  ","櫻花            ","0","66,000","-66,000",
" ","4968  ","立積            ","0","63,000","-63,000",
" ","4551  ","智伸科          ","0","62,000","-62,000",
" ","5534  ","長虹            ","0","62,000","-62,000",
" ","9938  ","百和            ","0","55,000","-55,000",
" ","3706  ","神達            ","0","45,000","-45,000",
" ","5269  ","祥碩            ","0","42,000","-42,000",
" ","4943  ","康控-KY         ","0","41,000","-41,000",
" ","1303  ","南亞            ","0","40,000","-40,000",
" ","2351  ","順德            ","0","40,000","-40,000",
" ","2408  ","南亞科          ","0","38,000","-38,000",
" ","2317  ","鴻海            ","0","35,000","-35,000",
" ","3005  ","神基            ","0","34,000","-34,000",
" ","5434  ","崇越            ","0","34,000","-34,000",
" ","6116  ","彩晶            ","0","31,000","-31,000",
" ","1537  ","廣隆            ","0","30,000","-30,000",
" ","6412  ","群電            ","0","30,000","-30,000",
" ","2015  ","豐興            ","0","28,000","-28,000",
" ","4557  ","永新-KY         ","0","28,000","-28,000",
" ","2618  ","長榮航          ","0","25,000","-25,000",
" ","1592  ","英瑞-KY         ","0","23,000","-23,000",
" ","6281  ","全國電          ","0","23,000","-23,000",
" ","9907  ","統一實          ","0","23,000","-23,000",
" ","2327  ","國巨            ","0","15,000","-15,000",
" ","3406  ","玉晶光          ","0","15,000","-15,000",
" ","2912  ","統一超          ","0","14,000","-14,000",
" ","1229  ","聯華            ","0","13,000","-13,000",
" ","1477  ","聚陽            ","0","12,000","-12,000",
" ","4137  ","麗豐-KY         ","0","11,000","-11,000",
" ","4438  ","廣越            ","0","9,000","-9,000",
" ","9940  ","信義            ","0","9,000","-9,000",
" ","3380  ","明泰            ","0","7,000","-7,000",
" ","6504  ","南六            ","0","6,000","-6,000",
" ","1521  ","大億            ","0","5,000","-5,000",
" ","2308  ","台達電          ","0","5,000","-5,000",
" ","2325  ","矽品            ","0","5,000","-5,000",
" ","2231  ","為升            ","0","4,000","-4,000",
" ","6271  ","同欣電          ","10,000","14,000","-4,000",
" ","6415  ","矽力-KY         ","0","3,000","-3,000",
" ","4536  ","拓凱            ","0","2,000","-2,000",
" ","1504  ","東元            ","0","1,000","-1,000",
" ","1525  ","江申            ","29,000","30,000","-1,000",
" ","2301  ","光寶科          ","0","1,000","-1,000",
" ","2303  ","聯電            ","0","1,000","-1,000",
" ","2347  ","聯強            ","0","1,000","-1,000",
" ","2353  ","宏碁            ","0","1,000","-1,000",
" ","2409  ","友達            ","0","1,000","-1,000",
" ","2498  ","宏達電          ","0","1,000","-1,000",
" ","3008  ","大立光          ","1,000","1,000","0",
"說明:"
"投信表示本國投資信託基金。"
"＊表示該證券今日有鉅額交易。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

