Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2014/09/18,258000,599610,2.30,2.36,2.30,2.36,0.11,20
2014/09/19,31000,73350,2.39,2.39,2.34,2.34,-0.02,6
2014/09/22,12000,27560,2.30,2.30,2.28,2.28,-0.06,3
2014/09/23,152000,351120,2.31,2.31,2.31,2.31,0.03,11
2014/09/24,196000,431470,2.24,2.24,2.19,2.19,-0.12,12
2014/09/25,23000,50900,2.24,2.24,2.19,2.19,,6
2014/09/26,172000,365200,2.10,2.14,2.10,2.11,-0.08,22
2014/09/29,29000,60650,2.10,2.10,2.09,2.09,-0.02,3
2014/09/30,72000,143890,2.02,2.02,1.98,2.02,-0.07,13
2014/10/01,11000,21940,1.97,2.05,1.97,2.05,0.03,5
2014/10/02,54000,108730,2.01,2.05,2.00,2.05,,9
2014/10/03,44000,91690,2.08,2.10,2.07,2.10,0.05,7
2014/10/06,2000,4280,2.14,2.14,2.14,2.14,0.04,1
2014/10/07,6000,12600,2.10,2.10,2.10,2.10,-0.04,2
2014/10/08,118000,245700,2.09,2.09,2.07,2.07,-0.03,8
2014/10/09,22000,46200,2.11,2.11,2.09,2.09,0.02,7
2014/10/13,43000,85430,2.01,2.01,1.98,1.98,-0.11,4
2014/10/14,10000,19890,1.98,2.07,1.98,2.07,0.09,2
2014/10/15,75000,148000,1.98,1.98,1.97,1.97,-0.10,2
2014/10/16,11000,21560,1.96,1.96,1.96,1.96,-0.01,2
2014/10/17,38000,72920,1.96,1.97,1.89,1.89,-0.07,10
2014/10/20,1000,1960,1.96,1.96,1.96,1.96,0.07,1
2014/10/21,0,0,--,--,--,--,,0
2014/10/22,24000,48920,2.03,2.04,2.03,2.03,X,8
2014/10/23,0,0,--,--,--,--,,0
2014/10/24,35000,70620,2.03,2.03,2.01,2.01,X,7
2014/10/27,7000,14090,2.01,2.04,2.00,2.00,-0.01,3
2014/10/28,123000,258560,2.06,2.13,2.06,2.12,0.12,16
2014/10/29,132000,282920,2.15,2.16,2.14,2.16,0.04,9
2014/10/30,173000,370220,2.14,2.14,2.14,2.14,-0.02,6
2014/10/31,59000,127710,2.17,2.18,2.16,2.18,0.04,12
2014/11/03,85000,186110,2.18,2.21,2.18,2.21,0.03,13
2014/11/04,33000,73740,2.23,2.24,2.23,2.24,0.03,6
2014/11/05,10000,22300,2.23,2.23,2.23,2.23,-0.01,1
2014/11/06,5000,11100,2.22,2.22,2.22,2.22,-0.01,1
2014/11/07,19000,42540,2.24,2.24,2.23,2.23,0.01,3
2014/11/10,22000,49720,2.26,2.26,2.26,2.26,0.03,2
2014/11/11,1000,2280,2.28,2.28,2.28,2.28,0.02,1
2014/11/12,9000,19520,2.20,2.20,2.16,2.16,-0.12,3
2014/11/13,0,0,--,--,--,--,,0
2014/11/14,0,0,--,--,--,--,,0
2014/11/17,0,0,--,--,--,--,,0
2014/11/18,11000,23310,2.12,2.12,2.11,2.11,X,3
2014/11/19,10000,21900,2.19,2.19,2.19,2.19,0.08,3
2014/11/20,0,0,--,--,--,--,,0
2014/11/21,2000,4400,2.20,2.20,2.20,2.20,X,1
2014/11/24,11000,24420,2.22,2.22,2.22,2.22,0.02,2
2014/11/25,16000,37140,2.28,2.34,2.28,2.34,0.12,4
2014/11/26,18000,41420,2.32,2.32,2.28,2.28,-0.06,5
2014/11/27,10000,23100,2.32,2.32,2.30,2.30,0.02,2
2014/11/28,5000,11500,2.30,2.30,2.30,2.30,,1
2014/12/01,219000,475120,2.22,2.24,2.13,2.18,-0.12,14
2014/12/02,121000,252560,2.13,2.13,2.07,2.08,-0.10,10
2014/12/03,93000,206040,2.20,2.22,2.20,2.22,0.14,8
2014/12/04,0,0,--,--,--,--,,0
2014/12/05,20000,45900,2.27,2.32,2.27,2.32,X,2
2014/12/08,10000,23100,2.31,2.31,2.31,2.31,-0.01,1
2014/12/09,20000,46300,2.31,2.32,2.31,2.32,0.01,2
2014/12/10,20000,45700,2.31,2.31,2.27,2.27,-0.05,3
2014/12/11,32000,72940,2.27,2.28,2.27,2.28,0.01,2
2014/12/12,30000,69000,2.31,2.31,2.29,2.29,0.01,3
2014/12/15,10000,22200,2.22,2.22,2.22,2.22,-0.07,2
2014/12/16,1000,2220,2.22,2.22,2.22,2.22,,1
2014/12/17,23000,48760,2.18,2.18,2.09,2.09,-0.13,6
2014/12/18,41000,88940,2.18,2.18,2.14,2.16,0.07,4
2014/12/19,31000,68190,2.20,2.20,2.19,2.20,0.04,4
2014/12/22,10000,22300,2.23,2.23,2.23,2.23,0.03,1
2014/12/23,10000,22300,2.23,2.23,2.23,2.23,,1
2014/12/24,20000,45600,2.28,2.28,2.28,2.28,0.05,1
2014/12/25,20000,45800,2.29,2.29,2.29,2.29,0.01,2
2014/12/26,18000,41400,2.30,2.30,2.30,2.30,0.01,2
2014/12/29,5000,11550,2.31,2.31,2.31,2.31,,1
2014/12/30,21000,49130,2.33,2.34,2.33,2.34,0.03,2
2014/12/31,31000,72230,2.33,2.33,2.33,2.33,-0.01,3
2015/01/05,34000,79220,2.33,2.33,2.33,2.33,,1
2015/01/06,10000,22820,2.28,2.30,2.28,2.30,-0.03,3
