Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2013/10/17,0,0,--,--,--,--,,0
2013/10/18,1000,4000,4.00,4.00,4.00,4.00,X,1
2013/10/21,5000,19600,3.92,3.92,3.92,3.92,-0.08,1
2013/10/22,5000,20000,4.00,4.00,4.00,4.00,0.08,1
2013/10/23,0,0,--,--,--,--,,0
2013/10/24,0,0,--,--,--,--,,0
2013/10/25,0,0,--,--,--,--,,0
2013/10/28,0,0,--,--,--,--,,0
2013/10/29,0,0,--,--,--,--,,0
2013/10/30,0,0,--,--,--,--,,0
2013/10/31,0,0,--,--,--,--,,0
2013/11/01,1000,3940,3.94,3.94,3.94,3.94,X,1
2013/11/04,0,0,--,--,--,--,,0
2013/11/05,0,0,--,--,--,--,,0
2013/11/06,1000,4180,4.18,4.18,4.18,4.18,X,1
2013/11/07,0,0,--,--,--,--,,0
2013/11/08,20000,84400,4.22,4.22,4.22,4.22,X,1
2013/11/11,0,0,--,--,--,--,,0
2013/11/12,1000,4300,4.30,4.30,4.30,4.30,X,1
2013/11/13,0,0,--,--,--,--,,0
2013/11/14,20000,88000,4.40,4.40,4.40,4.40,X,1
2013/11/15,0,0,--,--,--,--,,0
2013/11/18,0,0,--,--,--,--,,0
2013/11/19,0,0,--,--,--,--,,0
2013/11/20,0,0,--,--,--,--,,0
2013/11/21,0,0,--,--,--,--,,0
2013/11/22,0,0,--,--,--,--,,0
2013/11/25,0,0,--,--,--,--,,0
2013/11/26,5000,20400,4.08,4.08,4.08,4.08,X,1
2013/11/27,10000,40100,4.01,4.01,4.01,4.01,-0.07,1
2013/11/28,0,0,--,--,--,--,,0
2013/11/29,0,0,--,--,--,--,,0
2013/12/02,0,0,--,--,--,--,,0
2013/12/03,10000,37200,3.72,3.72,3.72,3.72,X,1
2013/12/04,0,0,--,--,--,--,,0
2013/12/05,0,0,--,--,--,--,,0
2013/12/06,0,0,--,--,--,--,,0
2013/12/09,0,0,--,--,--,--,,0
2013/12/10,0,0,--,--,--,--,,0
2013/12/11,0,0,--,--,--,--,,0
2013/12/12,0,0,--,--,--,--,,0
2013/12/13,0,0,--,--,--,--,,0
2013/12/16,0,0,--,--,--,--,,0
2013/12/17,8000,30400,3.80,3.80,3.80,3.80,X,1
2013/12/18,5000,19050,3.81,3.81,3.81,3.81,0.01,1
2013/12/19,3000,11220,3.74,3.74,3.74,3.74,-0.07,1
2013/12/20,0,0,--,--,--,--,,0
2013/12/23,0,0,--,--,--,--,,0
2013/12/24,0,0,--,--,--,--,,0
2013/12/25,0,0,--,--,--,--,,0
2013/12/26,0,0,--,--,--,--,,0
2013/12/27,0,0,--,--,--,--,,0
