Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2011/11/24,397000,599140,1.51,1.60,1.46,1.48,0.14,24
2011/11/25,1680000,2334210,1.39,1.42,1.36,1.38,-0.10,38
2011/11/28,3629000,5185870,1.34,1.49,1.34,1.47,0.09,87
2011/11/29,927000,1338360,1.43,1.46,1.42,1.43,-0.04,34
2011/11/30,2997000,4826650,1.47,1.87,1.47,1.81,0.38,179
2011/12/01,1199000,1800870,1.56,1.64,1.40,1.45,-0.36,127
2011/12/02,1227000,1733360,1.52,1.53,1.34,1.53,0.08,88
2011/12/05,359000,499230,1.40,1.42,1.35,1.41,-0.12,47
2011/12/06,705000,1056960,1.40,1.60,1.35,1.60,0.19,63
2011/12/07,209000,341810,1.60,1.70,1.50,1.61,0.01,33
2011/12/08,371000,646370,1.60,1.88,1.60,1.66,0.05,41
2011/12/09,425000,681460,1.85,1.85,1.48,1.49,-0.17,55
2011/12/12,141000,212830,1.60,1.60,1.42,1.54,0.05,27
2011/12/13,203000,317080,1.59,1.62,1.45,1.54,,33
2011/12/14,420000,574550,1.45,1.50,1.29,1.45,-0.09,39
2011/12/15,49000,72670,1.45,1.52,1.45,1.52,0.07,6
2011/12/16,69000,102270,1.55,1.55,1.41,1.52,,14
2011/12/19,276000,431800,1.54,1.60,1.50,1.52,,32
2011/12/20,38000,56150,1.48,1.65,1.47,1.65,0.13,5
2011/12/21,229000,281030,1.27,1.60,1.16,1.24,-0.41,20
2011/12/22,75000,91120,1.19,1.35,1.17,1.22,-0.02,10
2011/12/23,73000,84560,1.15,1.28,1.11,1.27,0.05,13
2011/12/26,19000,24380,1.20,1.35,1.18,1.35,0.08,5
2011/12/27,18000,21640,1.19,1.35,1.19,1.35,,3
2011/12/28,26000,31850,1.22,1.35,1.22,1.35,,4
2011/12/29,105000,141580,1.35,1.40,1.27,1.27,-0.08,18
2011/12/30,122000,156210,1.23,1.42,1.20,1.30,0.03,19
2012/01/02,186000,266020,1.38,1.50,1.38,1.50,0.20,35
2012/01/03,223000,341480,1.38,1.60,1.34,1.55,0.05,40
2012/01/04,459000,727940,1.39,1.70,1.29,1.69,0.14,57
2012/01/05,97000,147740,1.60,1.80,1.49,1.80,0.11,8
2012/01/06,20000,34420,1.65,1.75,1.65,1.75,-0.05,6
2012/01/09,106000,175220,1.75,1.75,1.53,1.68,-0.07,12
2012/01/10,113000,170080,1.50,1.58,1.44,1.58,-0.10,9
2012/01/11,41000,58290,1.40,1.49,1.39,1.49,-0.09,7
2012/01/12,42000,64630,1.42,1.58,1.42,1.58,0.09,5
2012/01/13,48000,75830,1.58,1.60,1.57,1.60,0.02,5
2012/01/16,360000,500910,1.58,1.65,1.36,1.65,0.05,8
2012/01/17,167000,227230,1.40,1.65,1.31,1.65,,9
2012/01/18,0,0,--,--,--,--,,0
2012/01/30,89000,98830,1.22,1.50,1.04,1.40,-0.13,11
2012/01/31,99000,94260,0.91,1.00,0.89,1.00,-0.40,10
2012/02/01,384000,322170,0.85,0.85,0.82,0.82,-0.18,7
2012/02/02,114000,79220,0.66,0.76,0.66,0.75,-0.07,5
2012/02/03,38000,29630,0.76,0.79,0.76,0.79,0.04,5
2012/02/06,30000,19950,0.68,0.75,0.65,0.75,-0.10,5
2012/02/07,101000,60850,0.60,0.75,0.60,0.75,,7
2012/02/08,115000,55990,0.50,0.50,0.47,0.48,-0.27,5
2012/02/09,83000,35730,0.43,0.47,0.43,0.47,-0.01,2
