Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2012/12/28,50000,34000,0.68,0.68,0.68,0.68,-0.11,1
2013/01/02,50000,33500,0.67,0.67,0.67,0.67,-0.01,1
2013/01/03,0,0,--,--,--,--,,0
2013/01/04,129000,86240,0.69,0.70,0.66,0.70,X,3
2013/01/07,0,0,--,--,--,--,,0
2013/01/08,30000,19200,0.64,0.64,0.64,0.64,X,1
2013/01/09,0,0,--,--,--,--,,0
2013/01/10,0,0,--,--,--,--,,0
2013/01/11,0,0,--,--,--,--,,0
2013/01/14,0,0,--,--,--,--,,0
2013/01/15,0,0,--,--,--,--,,0
2013/01/16,0,0,--,--,--,--,,0
2013/01/17,0,0,--,--,--,--,,0
2013/01/18,0,0,--,--,--,--,,0
2013/01/21,0,0,--,--,--,--,,0
2013/01/22,0,0,--,--,--,--,,0
2013/01/23,0,0,--,--,--,--,,0
2013/01/24,0,0,--,--,--,--,,0
2013/01/25,0,0,--,--,--,--,,0
2013/01/28,10000,5900,0.59,0.59,0.59,0.59,X,1
2013/01/29,0,0,--,--,--,--,,0
2013/01/30,99000,58410,0.59,0.59,0.59,0.59,X,1
2013/01/31,99000,55440,0.56,0.56,0.56,0.56,-0.03,1
2013/02/01,104000,64380,0.60,0.65,0.60,0.62,0.06,5
2013/02/04,50000,33150,0.65,0.68,0.65,0.67,0.05,5
2013/02/05,40000,25050,0.64,0.64,0.61,0.61,-0.06,4
2013/02/06,79000,50560,0.64,0.64,0.64,0.64,0.03,1
2013/02/18,10000,6000,0.60,0.60,0.60,0.60,-0.04,1
2013/02/19,198000,143550,0.70,0.75,0.70,0.75,0.15,2
2013/02/20,145000,134710,0.90,0.99,0.90,0.93,0.18,6
2013/02/21,289000,211860,0.80,0.80,0.69,0.76,-0.17,14
2013/02/22,155000,121010,0.76,0.82,0.76,0.82,0.06,6
2013/02/25,0,0,--,--,--,--,,0
2013/02/26,30000,24600,0.82,0.82,0.82,0.82,X,1
2013/02/27,284000,196990,0.75,0.75,0.69,0.70,-0.12,8
2013/03/01,719000,504500,0.72,0.72,0.68,0.68,-0.02,12
2013/03/04,1214000,795250,0.67,0.67,0.64,0.64,-0.04,17
2013/03/05,1590000,1053450,0.67,0.68,0.65,0.68,0.04,21
2013/03/06,322000,219210,0.70,0.70,0.67,0.67,-0.01,6
2013/03/07,1000000,695050,0.70,0.70,0.69,0.69,0.02,13
2013/03/08,565000,410900,0.72,0.80,0.72,0.77,0.08,10
2013/03/11,328000,279240,0.79,0.89,0.78,0.88,0.11,16
2013/03/12,676000,712540,1.15,1.15,0.93,0.96,0.08,26
2013/03/13,190000,176180,0.99,1.00,0.85,0.85,-0.11,8
2013/03/14,240000,203500,0.89,0.89,0.81,0.81,-0.04,10
2013/03/15,256000,209660,0.83,0.83,0.80,0.81,,9
2013/03/18,435000,295780,0.69,0.69,0.66,0.66,-0.15,6
2013/03/19,1030000,698820,0.69,0.69,0.67,0.67,0.01,12
2013/03/20,726000,509920,0.69,0.78,0.69,0.75,0.08,16
2013/03/21,20000,14700,0.75,0.75,0.72,0.72,-0.03,3
2013/03/22,202000,137450,0.68,0.71,0.68,0.71,-0.01,4
2013/03/25,515000,381690,0.76,0.76,0.72,0.73,0.02,7
2013/03/26,99000,69300,0.70,0.70,0.70,0.70,-0.03,1
2013/03/27,1129000,778590,0.73,0.73,0.66,0.67,-0.03,18
2013/03/28,1029000,668940,0.68,0.68,0.62,0.64,-0.03,15
2013/03/29,963000,640360,0.63,0.73,0.63,0.71,0.07,21
2013/04/01,848000,592560,1.16,1.16,0.68,0.68,-0.03,21
2013/04/02,954000,628300,0.70,0.70,0.63,0.63,-0.05,12
2013/04/03,2169000,1385880,0.68,0.68,0.61,0.64,0.01,35
2013/04/08,1295000,645090,0.68,0.68,0.48,0.48,-0.16,24
2013/04/09,1466000,720620,0.50,0.50,0.48,0.48,,22
2013/04/10,2619000,1322580,0.51,0.51,0.49,0.49,0.01,36
2013/04/11,1842000,923040,0.52,0.52,0.48,0.48,-0.01,25
2013/04/12,1604000,769920,0.48,0.48,0.48,0.48,,22
2013/04/15,857000,333840,0.43,0.43,0.37,0.37,-0.11,11
2013/04/16,2082000,740100,0.36,0.38,0.34,0.38,0.01,24
2013/04/17,1042000,401410,0.39,0.39,0.37,0.38,,18
2013/04/18,481000,177970,0.37,0.37,0.37,0.37,-0.01,7
2013/04/19,546000,210350,0.38,0.39,0.38,0.38,0.01,9
2013/04/22,25000,9750,0.39,0.39,0.39,0.39,0.01,2
2013/04/23,10000,3400,0.34,0.34,0.34,0.34,-0.05,1
2013/04/24,11000,3960,0.36,0.36,0.36,0.36,0.02,1
2013/04/25,0,0,--,--,--,--,,0
2013/04/26,0,0,--,--,--,--,,0
2013/04/29,0,0,--,--,--,--,,0
2013/04/30,20000,6200,0.31,0.31,0.31,0.31,X,1
2013/05/02,0,0,--,--,--,--,,0
2013/05/03,30000,10200,0.34,0.34,0.34,0.34,X,1
2013/05/06,60000,18600,0.31,0.31,0.31,0.31,-0.03,1
