Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2007/01/02,1000,16900,16.90,16.90,16.90,16.90,,1
2007/01/03,0,0,--,--,--,--,,0
2007/01/04,21000,354900,16.90,16.90,16.90,16.90,X,5
2007/01/05,1000,16900,16.90,16.90,16.90,16.90,,1
2007/01/08,0,0,--,--,--,--,,0
2007/01/09,5000,84500,16.90,16.90,16.90,16.90,X,1
2007/01/10,0,0,--,--,--,--,,0
2007/01/11,0,0,--,--,--,--,,0
2007/01/12,15000,252750,16.85,16.85,16.85,16.85,X,3
2007/01/15,0,0,--,--,--,--,,0
2007/01/16,0,0,--,--,--,--,,0
2007/01/17,0,0,--,--,--,--,,0
2007/01/18,0,0,--,--,--,--,,0
2007/01/19,0,0,--,--,--,--,,0
2007/01/22,0,0,--,--,--,--,,0
2007/01/23,0,0,--,--,--,--,,0
2007/01/24,0,0,--,--,--,--,,0
2007/01/25,0,0,--,--,--,--,,0
2007/01/26,0,0,--,--,--,--,,0
2007/01/29,0,0,--,--,--,--,,0
2007/01/30,8000,136000,17.00,17.00,17.00,17.00,X,3
2007/01/31,0,0,--,--,--,--,,0
2007/02/01,5000,85000,17.00,17.00,17.00,17.00,X,1
2007/02/02,0,0,--,--,--,--,,0
2007/02/05,0,0,--,--,--,--,,0
2007/02/06,0,0,--,--,--,--,,0
2007/02/07,0,0,--,--,--,--,,0
2007/02/08,0,0,--,--,--,--,,0
2007/02/09,3000,51450,17.15,17.15,17.15,17.15,X,1
2007/02/12,0,0,--,--,--,--,,0
2007/02/13,2000,34500,17.25,17.25,17.25,17.25,X,1
2007/02/14,0,0,--,--,--,--,,0
2007/02/26,2000,33800,16.90,16.90,16.90,16.90,X,1
2007/02/27,0,0,--,--,--,--,,0
2007/03/01,48000,816000,17.00,17.00,17.00,17.00,X,11
2007/03/02,0,0,--,--,--,--,,0
2007/03/05,0,0,--,--,--,--,,0
2007/03/06,0,0,--,--,--,--,,0
2007/03/07,20000,340000,17.00,17.00,17.00,17.00,X,3
2007/03/08,0,0,--,--,--,--,,0
2007/03/09,0,0,--,--,--,--,,0
2007/03/12,0,0,--,--,--,--,,0
2007/03/13,0,0,--,--,--,--,,0
2007/03/14,314000,5338000,17.00,17.00,17.00,17.00,X,6
2007/03/15,4000,68400,17.10,17.10,17.10,17.10,0.10,2
2007/03/16,0,0,--,--,--,--,,0
2007/03/19,0,0,--,--,--,--,,0
2007/03/20,3000,51450,17.15,17.15,17.15,17.15,X,1
2007/03/21,10000,170000,17.00,17.00,17.00,17.00,-0.15,2
2007/03/22,0,0,--,--,--,--,,0
2007/03/23,0,0,--,--,--,--,,0
2007/03/26,0,0,--,--,--,--,,0
2007/03/27,0,0,--,--,--,--,,0
2007/03/28,0,0,--,--,--,--,,0
2007/03/29,0,0,--,--,--,--,,0
2007/03/30,0,0,--,--,--,--,,0
2007/04/02,0,0,--,--,--,--,,0
2007/04/03,0,0,--,--,--,--,,0
2007/04/04,0,0,--,--,--,--,,0
2007/04/09,0,0,--,--,--,--,,0
2007/04/10,0,0,--,--,--,--,,0
2007/04/11,0,0,--,--,--,--,,0
2007/04/12,0,0,--,--,--,--,,0
2007/04/13,2000,34500,17.25,17.25,17.25,17.25,X,1
2007/04/16,0,0,--,--,--,--,,0
2007/04/17,46000,784300,17.05,17.05,17.05,17.05,X,7
2007/04/18,22000,375100,17.05,17.05,17.05,17.05,,3
2007/04/19,0,0,--,--,--,--,,0
2007/04/20,0,0,--,--,--,--,,0
2007/04/23,0,0,--,--,--,--,,0
2007/04/24,0,0,--,--,--,--,,0
2007/04/25,0,0,--,--,--,--,,0
2007/04/26,0,0,--,--,--,--,,0
2007/04/27,0,0,--,--,--,--,,0
2007/04/30,60000,1023000,17.05,17.05,17.05,17.05,X,6
2007/05/02,0,0,--,--,--,--,,0
2007/05/03,0,0,--,--,--,--,,0
2007/05/04,0,0,--,--,--,--,,0
2007/05/07,0,0,--,--,--,--,,0
2007/05/08,1000,17050,17.05,17.05,17.05,17.05,X,1
2007/05/09,50000,852500,17.05,17.05,17.05,17.05,,3
2007/05/10,6000,102300,17.05,17.05,17.05,17.05,,1
2007/05/11,0,0,--,--,--,--,,0
2007/05/14,0,0,--,--,--,--,,0
2007/05/15,0,0,--,--,--,--,,0
2007/05/16,0,0,--,--,--,--,,0
2007/05/17,0,0,--,--,--,--,,0
2007/05/18,0,0,--,--,--,--,,0
2007/05/21,0,0,--,--,--,--,,0
2007/05/22,1000,17050,17.05,17.05,17.05,17.05,X,1
2007/05/23,0,0,--,--,--,--,,0
2007/05/24,2000,32950,15.90,17.05,15.90,17.05,X,2
2007/05/25,161000,2746550,17.05,17.10,17.05,17.05,,7
2007/05/28,230000,3921500,17.05,17.05,17.05,17.05,,9
2007/05/29,42000,716100,17.05,17.05,17.05,17.05,,2
2007/05/30,0,0,--,--,--,--,,0
2007/05/31,0,0,--,--,--,--,,0
2007/06/01,0,0,--,--,--,--,,0
2007/06/04,0,0,--,--,--,--,,0
2007/06/05,20000,340000,17.00,17.00,17.00,17.00,X,2
2007/06/06,0,0,--,--,--,--,,0
2007/06/07,6362000,108472100,17.05,17.05,17.05,17.05,X,41
2007/06/08,0,0,--,--,--,--,,0
2007/06/11,0,0,--,--,--,--,,0
2007/06/12,0,0,--,--,--,--,,0
2007/06/13,0,0,--,--,--,--,,0
2007/06/14,92000,1564000,17.00,17.00,17.00,17.00,X,5
2007/06/15,160000,2720000,17.00,17.00,17.00,17.00,,2
2007/06/20,0,0,--,--,--,--,,0
2007/06/21,3000,51000,17.00,17.00,17.00,17.00,X,2
2007/06/22,0,0,--,--,--,--,,0
2007/06/25,0,0,--,--,--,--,,0
2007/06/26,0,0,--,--,--,--,,0
2007/06/27,0,0,--,--,--,--,,0
2007/06/28,0,0,--,--,--,--,,0
2007/06/29,40000,684000,17.10,17.10,17.10,17.10,X,2
2007/07/02,0,0,--,--,--,--,,0
2007/07/03,45000,767250,17.05,17.05,17.05,17.05,X,4
2007/07/04,35000,597250,17.05,17.15,17.05,17.15,0.10,5
2007/07/05,0,0,--,--,--,--,,0
2007/07/06,40000,686000,17.15,17.15,17.15,17.15,X,3
2007/07/09,0,0,--,--,--,--,,0
2007/07/10,0,0,--,--,--,--,,0
2007/07/11,0,0,--,--,--,--,,0
2007/07/12,0,0,--,--,--,--,,0
2007/07/13,10000,170500,17.05,17.05,17.05,17.05,X,1
2007/07/16,5000,85500,17.10,17.10,17.10,17.10,0.05,2
2007/07/17,0,0,--,--,--,--,,0
2007/07/18,42000,695000,16.50,16.60,16.50,16.50,X,4
2007/07/19,3000,48600,16.20,16.20,16.20,16.20,-0.30,2
2007/07/20,0,0,--,--,--,--,,0
2007/07/23,1000,15900,15.90,15.90,15.90,15.90,X,1
2007/07/24,0,0,--,--,--,--,,0
2007/07/25,1000,16200,16.20,16.20,16.20,16.20,X,1
2007/07/26,0,0,--,--,--,--,,0
2007/07/27,0,0,--,--,--,--,,0
2007/07/30,10000,162500,16.25,16.25,16.25,16.25,X,2
2007/07/31,21000,340700,16.25,16.25,16.20,16.20,-0.05,3
2007/08/01,3000,48750,16.25,16.25,16.25,16.25,0.05,2
2007/08/02,0,0,--,--,--,--,,0
2007/08/03,0,0,--,--,--,--,,0
2007/08/06,0,0,--,--,--,--,,0
2007/08/07,0,0,--,--,--,--,,0
2007/08/08,0,0,--,--,--,--,,0
2007/08/09,0,0,--,--,--,--,,0
2007/08/10,0,0,--,--,--,--,,0
2007/08/13,0,0,--,--,--,--,,0
2007/08/14,0,0,--,--,--,--,,0
2007/08/15,0,0,--,--,--,--,,0
2007/08/16,11000,178750,16.25,16.25,16.25,16.25,X,2
2007/08/17,5000,81250,16.25,16.25,16.25,16.25,,1
2007/08/20,0,0,--,--,--,--,,0
2007/08/21,0,0,--,--,--,--,,0
2007/08/22,0,0,--,--,--,--,,0
2007/08/23,0,0,--,--,--,--,,0
2007/08/24,2000,32500,16.25,16.25,16.25,16.25,X,1
2007/08/27,0,0,--,--,--,--,,0
2007/08/28,0,0,--,--,--,--,,0
2007/08/29,47000,763750,16.25,16.25,16.25,16.25,X,1
2007/08/30,0,0,--,--,--,--,,0
2007/08/31,0,0,--,--,--,--,,0
2007/09/03,0,0,--,--,--,--,,0
2007/09/04,0,0,--,--,--,--,,0
2007/09/05,0,0,--,--,--,--,,0
2007/09/06,0,0,--,--,--,--,,0
2007/09/07,0,0,--,--,--,--,,0
2007/09/10,0,0,--,--,--,--,,0
2007/09/11,1000,15150,15.15,15.15,15.15,15.15,X,1
2007/09/12,1000,16200,16.20,16.20,16.20,16.20,1.05,1
2007/09/13,0,0,--,--,--,--,,0
2007/09/14,0,0,--,--,--,--,,0
2007/09/17,0,0,--,--,--,--,,0
2007/09/19,0,0,--,--,--,--,,0
2007/09/20,7000,116000,17.30,17.30,16.45,16.45,X,4
2007/09/21,0,0,--,--,--,--,,0
2007/09/26,0,0,--,--,--,--,,0
2007/09/27,0,0,--,--,--,--,,0
