Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2017/02/10,6067870,313816217,51.50,51.90,51.50,51.70,0.00,1741
2017/02/13,2617236,135581878,51.80,51.90,51.70,51.80,0.10,896
2017/02/14,1488227,77035604,51.80,51.90,51.70,51.70,-0.10,486
2017/02/15,1851604,95716898,51.70,51.80,51.60,51.60,-0.10,407
2017/02/16,822240,42469368,51.70,51.70,51.60,51.60,0.00,369
2017/02/17,980015,50727762,51.70,51.80,51.70,51.70,0.10,274
2017/02/20,472454,24526752,51.90,52.00,51.80,51.90,0.00,171
2017/02/21,696028,36216156,51.90,52.20,51.90,52.20,0.30,280
2017/02/22,1045548,54535527,52.20,52.30,52.10,52.10,-0.10,244
2017/02/23,526478,27511484,52.10,52.30,52.10,52.30,0.20,177
2017/02/24,284837,14905467,52.30,52.40,52.20,52.40,0.10,99
2017/03/01,740630,38871705,52.40,52.60,52.40,52.60,0.20,230
2017/03/02,927767,49063657,52.70,53.00,52.70,53.00,0.40,280
2017/03/03,4816176,246751433,53.00,53.30,53.00,53.20,0.20,223
2017/03/06,424395,22580735,53.30,53.30,53.10,53.20,0.00,158
2017/03/07,723383,38432281,53.20,53.20,53.10,53.10,-0.10,105
2017/03/08,1355031,71620928,53.10,53.10,52.60,52.80,-0.30,200
2017/03/09,170902,9018032,52.80,52.80,52.70,52.70,-0.10,63
2017/03/10,226456,11940846,52.70,52.80,52.70,52.80,0.10,72
2017/03/13,227920,12011094,52.80,52.80,52.70,52.70,-0.10,90
2017/03/14,351411,18472467,52.70,52.70,52.50,52.50,-0.20,131
2017/03/15,199559,10489142,52.60,52.60,52.50,52.60,0.10,101
2017/03/16,214455,11264882,52.60,52.60,52.50,52.50,-0.10,125
2017/03/17,540997,28381537,52.50,52.60,52.40,52.40,-0.10,165
2017/03/20,605508,31692513,52.40,52.40,52.20,52.20,-0.20,182
2017/03/21,156477,8182539,52.20,52.40,52.20,52.30,0.10,82
2017/03/22,1146426,59779485,52.30,52.30,52.00,52.20,-0.10,168
2017/03/23,221502,11563597,52.30,52.30,52.20,52.20,0.00,85
2017/03/24,120740,6297849,52.20,52.20,52.10,52.20,0.00,58
2017/03/27,150827,7869604,52.20,52.20,52.10,52.10,-0.10,61
2017/03/28,735412,38333557,52.20,52.20,52.00,52.10,0.00,139
2017/03/29,288214,15026644,52.10,52.20,52.10,52.10,0.00,77
2017/03/30,631676,32920752,52.10,52.20,52.00,52.00,-0.10,97
2017/03/31,784194,40744561,52.10,52.10,51.90,51.90,-0.10,135
2017/04/05,277135,14396796,51.90,52.00,51.90,51.90,0.00,97
2017/04/06,176676,9196582,51.90,52.10,51.90,52.00,0.10,50
2017/04/07,193142,10076084,52.00,52.20,52.00,52.10,0.10,64
2017/04/10,108926,5680138,52.10,52.20,52.10,52.10,0.00,39
2017/04/11,124009,6463964,52.20,52.20,52.10,52.10,0.00,44
2017/04/12,301568,15740090,52.10,52.30,52.10,52.30,0.20,87
2017/04/13,104696,5462292,52.20,52.20,52.10,52.10,-0.20,42
2017/04/14,325454,16983708,52.10,52.20,52.10,52.10,0.00,85
2017/04/17,207793,10844673,52.10,52.20,52.10,52.20,0.10,58
2017/04/18,259539,13567628,52.20,52.30,52.10,52.10,-0.10,51
2017/04/19,185784,9696068,52.10,52.30,52.10,52.20,0.10,62
2017/04/20,268631,14044369,52.20,52.40,52.20,52.20,0.00,70
2017/04/21,112295,5863767,52.20,52.30,52.20,52.20,0.00,34
2017/04/24,133208,6960735,52.30,52.30,52.20,52.20,0.00,20
2017/04/25,933085,48469620,52.20,52.20,51.80,52.00,-0.20,139
2017/04/26,745339,38492593,51.60,52.00,51.60,52.00,0.00,93
2017/04/27,58250,3027172,52.00,52.00,51.90,52.00,0.00,25
2017/04/28,208731,10831958,51.90,52.00,51.80,51.90,-0.10,92
2017/05/02,100890,5234405,51.90,52.00,51.80,51.90,0.00,57
2017/05/03,298967,15544880,52.00,52.00,51.90,52.00,0.10,65
2017/05/04,258919,13424197,51.90,52.00,51.80,51.90,-0.10,95
2017/05/05,123054,6377492,51.90,51.90,51.80,51.80,-0.10,63
2017/05/08,119655,6197761,51.80,51.90,51.70,51.80,0.00,85
2017/05/09,361306,18665884,51.80,51.80,51.60,51.60,-0.20,105
2017/05/10,80969,4186696,51.60,51.80,51.60,51.70,0.10,50
2017/05/11,115597,5975557,51.70,51.70,51.60,51.70,0.00,83
2017/05/12,580769,29940274,51.70,51.70,51.50,51.60,-0.10,189
2017/05/15,307590,15866582,51.60,51.70,51.50,51.50,-0.10,112
2017/05/16,562837,28987803,51.50,51.60,51.40,51.50,0.00,177
2017/05/17,226008,11635610,51.50,51.50,51.40,51.50,0.00,66
2017/05/18,162217,8353773,51.50,51.50,51.40,51.50,0.00,54
2017/05/19,200865,10345545,51.50,51.60,51.50,51.60,0.10,59
2017/05/22,44985,2320326,51.60,51.60,51.50,51.60,0.00,38
2017/05/23,91006,4693506,51.60,51.60,51.50,51.60,0.00,48
2017/05/24,28954,1494320,51.70,51.70,51.60,51.60,0.00,39
2017/05/25,122821,6349341,51.60,51.80,51.60,51.70,0.10,47
2017/05/26,121002,6256500,51.70,51.80,51.60,51.80,0.10,38
2017/05/31,48323,2500866,51.80,51.80,51.70,51.80,0.00,22
2017/06/01,77448,4011300,51.80,51.80,51.70,51.80,0.00,58
2017/06/02,81668,4224099,51.80,51.80,51.70,51.80,0.00,49
2017/06/05,107696,5578846,51.80,51.90,51.80,51.80,0.00,97
2017/06/06,56120,2902703,51.70,51.80,51.70,51.80,0.00,27
2017/06/07,161497,8365542,51.80,51.80,51.80,51.80,0.00,77
2017/06/08,114467,5929041,51.80,51.80,51.70,51.80,0.00,65
2017/06/09,101192,5238645,51.80,51.80,51.70,51.80,0.00,84
2017/06/12,80226,4155661,51.80,51.80,51.80,51.80,0.00,76
2017/06/13,81725,4233354,51.80,51.80,51.80,51.80,0.00,77
2017/06/14,108482,5618716,51.80,51.90,51.70,51.80,0.00,87
2017/06/15,50544,2618169,51.80,51.90,51.80,51.80,0.00,25
2017/06/16,47528,2461092,51.80,51.80,51.70,51.70,-0.10,52
2017/06/19,100880,5223993,51.70,51.80,51.70,51.70,0.00,74
