Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2010/09/09,1000,1170,1.17,1.17,1.17,1.17,0.03,1
2010/09/10,1000,1360,1.36,1.36,1.36,1.36,0.19,1
2010/09/15,1000,1840,1.84,1.84,1.84,1.84,0.48,1
2010/09/16,1000,1490,1.49,1.49,1.49,1.49,-0.35,1
2010/09/21,20000,33400,1.67,1.67,1.67,1.67,0.18,1
2010/09/24,10000,13700,1.37,1.37,1.37,1.37,-0.30,1
2010/09/27,30000,43200,1.44,1.44,1.44,1.44,0.07,1
2010/09/29,0,0,0.00,0.00,0.00,0.87,0.07,0
2010/10/04,1000,1330,1.33,1.33,1.33,1.33,0.73,1
2010/10/19,1000,1260,1.26,1.26,1.26,1.26,1.08,1
2010/10/20,1000,1270,1.27,1.27,1.27,1.27,0.01,1
2010/11/01,24000,21420,0.88,0.91,0.88,0.91,-0.36,2
2010/11/04,40000,34900,0.87,0.89,0.85,0.89,0.67,4
2010/11/05,25000,22260,0.89,0.90,0.89,0.90,0.01,2
2010/11/08,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/09,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/10,4000,3280,0.82,0.82,0.82,0.82,-0.08,1
2010/11/11,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/12,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/15,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/16,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/17,4000,2760,0.69,0.69,0.69,0.69,0.57,1
2010/11/18,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/19,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/22,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/23,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/24,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/25,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/26,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/29,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/30,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/01,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/02,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/03,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/06,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/07,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/08,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/09,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/10,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/13,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/14,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/15,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/16,0,0,0.00,0.00,0.00,0.00,---,0
2010/12/17,0,0,0.00,0.00,0.00,0.00,---,0
