Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2010/09/08,11000,4730,0.43,0.43,0.43,0.43,-0.37,2
2010/09/09,308000,138600,0.45,0.45,0.45,0.45,0.02,5
2010/09/10,318000,143300,0.45,0.47,0.45,0.47,0.02,5
2010/09/14,103000,42250,0.41,0.43,0.41,0.43,-0.04,3
2010/09/15,109000,43800,0.40,0.42,0.40,0.42,-0.01,2
2010/09/16,521000,227300,0.44,0.47,0.43,0.47,0.05,11
2010/09/17,310000,133300,0.43,0.43,0.43,0.43,-0.04,4
2010/09/24,199000,77630,0.39,0.41,0.39,0.41,-0.02,3
2010/09/27,229000,84730,0.37,0.37,0.37,0.37,-0.04,4
2010/09/28,30000,10500,0.35,0.35,0.35,0.35,-0.02,1
2010/09/30,199000,67680,0.34,0.36,0.34,0.36,0.01,3
2010/10/01,199000,69450,0.35,0.35,0.15,0.35,-0.01,11
2010/10/04,4000,1230,0.31,0.31,0.30,0.30,-0.05,2
2010/10/05,1000,270,0.27,0.27,0.27,0.27,-0.03,1
2010/10/06,2000,520,0.26,0.26,0.26,0.26,-0.01,1
2010/10/08,99000,24750,0.25,0.25,0.25,0.25,-0.01,1
2010/10/11,61000,11780,0.23,0.23,0.08,0.08,-0.17,5
2010/10/12,111000,21070,0.17,0.19,0.17,0.19,0.11,3
2010/10/13,397000,67500,0.17,0.18,0.17,0.18,-0.01,5
2010/10/14,694000,91220,0.13,0.14,0.13,0.14,-0.04,8
2010/10/15,100000,12010,0.12,0.13,0.12,0.13,-0.01,2
2010/10/18,199000,23960,0.12,0.20,0.12,0.20,0.07,3
2010/10/20,694000,90190,0.13,0.13,0.10,0.10,-0.10,8
2010/10/22,102000,12240,0.12,0.12,0.12,0.12,0.02,2
2010/11/05,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/08,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/09,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/10,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/11,0,0,0.00,0.00,0.00,0.00,---,0
2010/11/12,0,0,0.00,0.00,0.00,0.00,---,0
