2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,102000,92020,0.90,0.92,0.90,0.91,+0.08,4
2017/08/08,190000,166600,0.87,0.90,0.86,0.86,-0.05,7
2017/08/09,168000,124490,0.81,0.82,0.73,0.73,-0.13,4
2017/08/10,148000,108290,0.75,0.75,0.68,0.68,-0.05,4
2017/08/11,33000,20790,0.63,0.63,0.63,0.63,-0.05,1
2017/08/14,5000,2950,0.59,0.59,0.59,0.59,-0.04,1
2017/08/15,15000,9370,0.62,0.63,0.62,0.63,+0.04,3
2017/08/16,196000,136600,0.68,0.72,0.65,0.65,+0.02,13
2017/08/17,104000,66560,0.64,0.64,0.64,0.64,-0.01,3
2017/08/18,132000,80450,0.59,0.67,0.59,0.65,+0.01,7
2017/08/21,248000,167900,0.65,0.69,0.65,0.69,+0.04,6
