Date,Open,Buy,Sell,Total
2007/01/02,0,24000,-3164905,-3140905
2007/01/03,0,1272000,-1945000,-673000
2007/01/04,0,8000,-1319000,-1311000
2007/01/05,0,41000,-1328581,-1287581
2007/01/08,0,5000,-226253,-221253
2007/01/09,0,3000,-1237000,-1234000
2007/01/10,0,20000,-48000,-28000
2007/01/11,0,22000,-1000,21000
2007/01/12,0,600000,-663533,-63533
2007/01/15,0,1000,-22000,-21000
2007/01/16,0,825000,0,825000
2007/01/17,0,16000,-1253000,-1237000
2007/01/18,0,10000,-42000,-32000
2007/01/19,0,318000,-159000,159000
2007/01/22,0,47233,-1000,46233
2007/01/23,0,4000,0,4000
2007/01/24,0,7000,0,7000
2007/01/25,0,18000,-4000,14000
2007/01/26,0,15000,-49000,-34000
2007/01/29,0,23000,-18000,5000
2007/01/30,0,38000,-23000,15000
2007/01/31,0,4000,0,4000
2007/02/01,0,24000,0,24000
2007/02/02,0,61000,0,61000
2007/02/05,0,4000,-22000,-18000
2007/02/06,0,7000,-26000,-19000
2007/02/07,0,1000,-7000,-6000
2007/02/08,0,0,-9000,-9000
2007/02/09,0,29000,-65000,-36000
2007/02/12,0,153000,0,153000
2007/02/13,0,38000,-112000,-74000
2007/02/14,0,175000,-588000,-413000
2007/02/15,0,0,0,0
2007/02/16,0,0,0,0
2007/02/19,0,0,0,0
2007/02/20,0,0,0,0
2007/02/21,0,0,0,0
2007/02/22,0,0,0,0
2007/02/23,0,0,0,0
2007/02/26,0,193000,-1466775,-1273775
2007/02/27,0,3464000,-3000,3461000
2007/02/28,0,0,0,0
2007/03/01,0,6000000,-84000,5916000
2007/03/02,0,3000,-1152000,-1149000
2007/03/05,0,8000,-413000,-405000
2007/03/06,0,948000,0,948000
2007/03/07,0,2750000,-3396664,-646664
2007/03/08,0,4000,-17000,-13000
2007/03/09,0,1000,-760000,-759000
2007/03/12,0,0,-412856,-412856
2007/03/13,0,139000,-1615000,-1476000
2007/03/14,0,0,-443000,-443000
2007/03/15,0,256000,-1450000,-1194000
2007/03/16,0,0,-720274,-720274
2007/03/19,0,0,-19000,-19000
2007/03/20,0,0,0,0
2007/03/21,0,11000,-917730,-906730
2007/03/22,0,35000,-613824,-578824
2007/03/23,0,16000,-320000,-304000
2007/03/26,0,0,-480000,-480000
2007/03/27,0,10000,-1285000,-1275000
2007/03/28,0,0,-539000,-539000
2007/03/29,0,3000,-744000,-741000
2007/03/30,0,1391000,-1490000,-99000
2007/04/02,0,267000,-21000,246000
2007/04/03,0,3000,-278000,-275000
2007/04/04,0,43000,-211000,-168000
2007/04/05,0,0,0,0
2007/04/06,0,0,0,0
2007/04/09,0,3384000,-250000,3134000
2007/04/10,0,4933000,-121000,4812000
2007/04/11,0,1459000,-510000,949000
2007/04/12,0,1176000,0,1176000
2007/04/13,0,1083000,-9000,1074000
2007/04/16,0,659000,-76609,582391
2007/04/17,0,880000,-336,879664
2007/04/18,0,0,-8000,-8000
2007/04/19,0,8000,-42000,-34000
2007/04/20,0,200000,-1000,199000
2007/04/23,0,52000,0,52000
2007/04/24,0,0,0,0
2007/04/25,0,58000,-1032000,-974000
2007/04/26,0,9000,-58000,-49000
2007/04/27,0,106000,-1422000,-1316000
2007/04/30,0,1604000,-891000,713000
2007/05/01,0,0,0,0
2007/05/02,0,608000,-73422,534578
2007/05/03,0,1108000,-324000,784000
2007/05/04,0,790000,-336000,454000
2007/05/07,0,658000,-75000,583000
2007/05/08,0,47000,-298000,-251000
2007/05/09,0,644000,-334520,309480
2007/05/10,0,698000,-253000,445000
2007/05/11,0,342000,-3255000,-2913000
2007/05/14,0,76000,-949000,-873000
2007/05/15,0,141000,-1379012,-1238012
2007/05/16,0,21600,0,21600
2007/05/17,0,15000,-262000,-247000
2007/05/18,0,1158000,-263000,895000
2007/05/21,0,35000,-265000,-230000
2007/05/22,0,368000,-127000,241000
2007/05/23,0,12000,-41000,-29000
2007/05/24,0,86000,-16000,70000
2007/05/25,0,143000,0,143000
