Date,Open,Buy,Sell,Total
2007/04/23,0,81000,-1112000,-1031000
2007/04/24,0,79000,-661000,-582000
2007/04/25,0,446000,-1518000,-1072000
2007/04/26,0,107000,-6144000,-6037000
2007/04/27,0,132000,-144000,-12000
2007/04/30,0,40000,-335000,-295000
2007/05/01,0,0,0,0
2007/05/02,0,200000,-713000,-513000
2007/05/03,0,50000,-967000,-917000
2007/05/04,0,3774000,-125945,3648055
2007/05/07,0,116000,-948000,-832000
2007/05/08,0,141000,-286000,-145000
2007/05/09,0,46000,-661000,-615000
2007/05/10,0,212000,-219000,-7000
2007/05/11,0,44000,-1312000,-1268000
2007/05/14,0,70000,-2584000,-2514000
2007/05/15,0,13000,-109000,-96000
2007/05/16,0,11000,-530000,-519000
2007/05/17,0,129000,-263000,-134000
2007/05/18,0,14000,-377000,-363000
2007/05/21,0,42000,-152000,-110000
2007/05/22,0,687000,-106000,581000
2007/05/23,0,5000,-505000,-500000
2007/05/24,0,46000,-439000,-393000
2007/05/25,0,155000,-778000,-623000
2007/05/28,0,9000,-232000,-223000
2007/05/29,0,100000,-1916000,-1816000
2007/05/30,0,89000,-115298,-26298
2007/05/31,0,1126000,-606000,520000
2007/06/01,0,2010000,-501000,1509000
2007/06/04,0,0,-1521764,-1521764
2007/06/05,0,50000,-331000,-281000
2007/06/06,0,15000,-241000,-226000
2007/06/07,0,65000,-158000,-93000
2007/06/08,0,437000,-436000,1000
2007/06/11,0,24000,-363000,-339000
2007/06/12,0,21000,-154000,-133000
2007/06/13,0,87000,-134000,-47000
2007/06/14,0,61000,-193000,-132000
2007/06/15,0,557000,-32000,525000
2007/06/18,0,0,0,0
2007/06/19,0,0,0,0
2007/06/20,0,180000,-810000,-630000
2007/06/21,0,3938043,-493000,3445043
2007/06/22,0,4158000,-925000,3233000
2007/06/25,0,310000,-297000,13000
2007/06/26,0,108000,-2032000,-1924000
2007/06/27,0,59000,-553000,-494000
2007/06/28,0,119000,-497000,-378000
2007/06/29,0,491000,-3033874,-2542874
2007/07/02,0,15000,-606000,-591000
2007/07/03,0,2379000,-554000,1825000
2007/07/04,0,3132000,-1346000,1786000
2007/07/05,0,2164000,-376000,1788000
2007/07/06,0,448000,-555000,-107000
2007/07/09,0,6957000,-265000,6692000
2007/07/10,0,3363000,-2079886,1283114
2007/07/11,0,2899000,-436064,2462936
2007/07/12,0,1502000,-3987000,-2485000
2007/07/13,0,390000,-591741,-201741
2007/07/16,0,213000,-5324000,-5111000
2007/07/17,0,434000,-1845000,-1411000
2007/07/18,0,274305,-595000,-320695
2007/07/19,0,803000,-524066,278934
2007/07/20,0,938000,-516540,421460
2007/07/23,0,129000,-1240000,-1111000
2007/07/24,0,660000,-2968000,-2308000
2007/07/25,0,413000,-329000,84000
2007/07/26,0,121000,-2447000,-2326000
2007/07/27,0,121000,-1399000,-1278000
2007/07/30,0,83000,-3058000,-2975000
2007/07/31,0,265034,-195000,70034
2007/08/01,0,864000,-794000,70000
