Date,Open,Buy,Sell,Total
2007/01/02,0,221000,-51000,170000
2007/01/03,0,600000,-552199,47801
2007/01/04,0,0,-30000,-30000
2007/01/05,0,33000,-971,32029
2007/01/08,0,30000,-226000,-196000
2007/01/09,0,0,-70000,-70000
2007/01/10,0,73000,-55000,18000
2007/01/11,0,16000,0,16000
2007/01/12,0,609000,-171000,438000
2007/01/15,0,20000,-233000,-213000
2007/01/16,0,72000,-30000,42000
2007/01/17,0,242000,-30000,212000
2007/01/18,0,15000,-10485,4515
2007/01/19,0,0,-414000,-414000
2007/01/22,0,58000,-128000,-70000
2007/01/23,0,250000,-48000,202000
2007/01/24,0,62000,-29000,33000
2007/01/25,0,62000,-2000,60000
2007/01/26,0,22000,-21000,1000
2007/01/29,0,80000,-7000,73000
2007/01/30,0,239000,-8000,231000
2007/01/31,0,25000,-50000,-25000
2007/02/01,0,583000,0,583000
2007/02/02,0,100000,0,100000
2007/02/05,0,128000,-370894,-242894
2007/02/06,0,216000,-330000,-114000
2007/02/07,0,1500000,-504606,995394
2007/02/08,0,10000,-5690,4310
2007/02/09,0,454000,-32000,422000
2007/02/12,0,0,-49000,-49000
2007/02/13,0,0,-300000,-300000
2007/02/14,0,47000,-15000,32000
2007/02/15,0,0,0,0
2007/02/16,0,0,0,0
2007/02/19,0,0,0,0
2007/02/20,0,0,0,0
2007/02/21,0,0,0,0
2007/02/22,0,0,0,0
2007/02/23,0,0,0,0
2007/02/26,0,0,0,0
2007/02/27,0,0,-64000,-64000
2007/02/28,0,0,0,0
2007/03/01,0,12000,0,12000
2007/03/02,0,0,-510983,-510983
2007/03/05,0,0,-31000,-31000
2007/03/06,0,75000,-1512000,-1437000
2007/03/07,0,0,-1435105,-1435105
2007/03/08,0,110000,-125000,-15000
2007/03/09,0,44000,-170000,-126000
2007/03/12,0,165000,-756656,-591656
2007/03/13,0,0,-8097,-8097
2007/03/14,0,175000,-1053000,-878000
2007/03/15,0,55000,-856000,-801000
2007/03/16,0,0,-347000,-347000
2007/03/19,0,65000,-6610,58390
2007/03/20,0,80000,-38000,42000
2007/03/21,0,0,-13000,-13000
2007/03/22,0,0,-186000,-186000
2007/03/23,0,20000,-19000,1000
2007/03/26,0,43000,-714966,-671966
2007/03/27,0,66000,-326000,-260000
2007/03/28,0,121000,-39181,81819
2007/03/29,0,146000,-150728,-4728
2007/03/30,0,0,-178000,-178000
2007/04/02,0,0,-415000,-415000
2007/04/03,0,19000,-408000,-389000
2007/04/04,0,67000,0,67000
2007/04/05,0,0,0,0
2007/04/06,0,0,0,0
2007/04/09,0,40000,-69000,-29000
2007/04/10,0,0,-12971,-12971
2007/04/11,0,126000,-246000,-120000
2007/04/12,0,50000,-108000,-58000
2007/04/13,0,40000,-58000,-18000
2007/04/16,0,0,-79000,-79000
2007/04/17,0,0,-89474,-89474
2007/04/18,0,43000,-24000,19000
2007/04/19,0,12000,0,12000
2007/04/20,0,138000,-509983,-371983
2007/04/23,0,12000,-86000,-74000
2007/04/24,0,255000,-90000,165000
2007/04/25,0,87000,0,87000
2007/04/26,0,0,-79000,-79000
2007/04/27,0,0,-209000,-209000
2007/04/30,0,0,-214000,-214000
2007/05/01,0,0,0,0
2007/05/02,0,29000,-25000,4000
2007/05/03,0,120000,-87000,33000
2007/05/04,0,290000,0,290000
2007/05/07,0,175000,-3000,172000
2007/05/08,0,136000,-70000,66000
2007/05/09,0,0,-502000,-502000
2007/05/10,0,77000,-128000,-51000
2007/05/11,0,6000,-1000,5000
2007/05/14,0,189000,0,189000
2007/05/15,0,128000,-3000,125000
2007/05/16,0,237000,-299000,-62000
2007/05/17,0,156000,-10000,146000
2007/05/18,0,39000,-14000,25000
2007/05/21,0,0,0,0
2007/05/22,0,63000,0,63000
2007/05/23,0,523000,-62000,461000
2007/05/24,0,1061000,-50000,1011000
2007/05/25,0,853000,0,853000
2007/05/28,0,60000,-200000,-140000
2007/05/29,0,29000,-188000,-159000
2007/05/30,0,26000,-159000,-133000
2007/05/31,0,0,-120915,-120915
2007/06/01,0,0,-10000,-10000
2007/06/04,0,11000,0,11000
2007/06/05,0,150000,-113000,37000
2007/06/06,0,87000,-152000,-65000
2007/06/07,0,2000,0,2000
2007/06/08,0,50000,0,50000
2007/06/11,0,0,-61000,-61000
2007/06/12,0,8000,-26000,-18000
2007/06/13,0,78000,-63000,15000
2007/06/14,0,100000,-48000,52000
2007/06/15,0,1710000,0,1710000
2007/06/18,0,0,0,0
2007/06/19,0,0,0,0
2007/06/20,0,350000,-356000,-6000
2007/06/21,0,200000,-77000,123000
2007/06/22,0,400000,0,400000
2007/06/25,0,700000,-864000,-164000
2007/06/26,0,275000,-777000,-502000
2007/06/27,0,15000,-545000,-530000
2007/06/28,0,35000,-62000,-27000
2007/06/29,0,115000,-380000,-265000
2007/07/02,0,25000,-20000,5000
2007/07/03,0,0,0,0
2007/07/04,0,10000,-124000,-114000
2007/07/05,0,2957000,-228000,2729000
2007/07/06,0,785000,-882000,-97000
2007/07/09,0,932000,-17000,915000
2007/07/10,0,226000,0,226000
2007/07/11,0,45000,0,45000
2007/07/12,0,3270000,-7000,3263000
2007/07/13,0,180000,-40000,140000
2007/07/16,0,1384000,-100000,1284000
2007/07/17,0,278000,-130000,148000
2007/07/18,0,2126000,0,2126000
2007/07/19,0,152000,-58000,94000
2007/07/20,0,409000,0,409000
2007/07/23,0,133000,0,133000
2007/07/24,0,152000,-160000,-8000
2007/07/25,0,5000,-47000,-42000
2007/07/26,0,239000,-20000,219000
2007/07/27,0,6000,-441000,-435000
2007/07/30,0,36000,-825000,-789000
2007/07/31,0,993000,-52000,941000
2007/08/01,0,7000,-597000,-590000
2007/08/02,0,8000,-992000,-984000
2007/08/03,0,660000,-50000,610000
2007/08/06,0,353000,-20000,333000
2007/08/07,0,3000,0,3000
2007/08/08,0,1050000,-240000,810000
2007/08/09,0,107000,-64000,43000
2007/08/10,0,38000,-162000,-124000
2007/08/13,0,0,-862000,-862000
2007/08/14,0,493000,-21000,472000
2007/08/15,0,1104000,-20000,1084000
2007/08/16,0,572000,-420000,152000
2007/08/17,0,27000,-146000,-119000
2007/08/20,0,336000,0,336000
2007/08/21,0,417000,-350000,67000
2007/08/22,0,149000,-5000,144000
2007/08/23,0,300000,0,300000
2007/08/24,0,340000,-91000,249000
2007/08/27,0,3162000,-39000,3123000
2007/08/28,0,0,-913000,-913000
2007/08/29,0,0,-2885000,-2885000
2007/08/30,0,708000,-1260000,-552000
2007/08/31,0,2176000,-45000,2131000
2007/09/03,0,85000,-11000,74000
2007/09/04,0,219000,-711000,-492000
2007/09/05,0,195000,0,195000
2007/09/06,0,0,-27000,-27000
2007/09/07,0,1239000,-319000,920000
2007/09/10,0,80000,-607000,-527000
2007/09/11,0,27000,-340000,-313000
2007/09/12,0,1314000,-1000,1313000
2007/09/13,0,0,-190000,-190000
2007/09/14,0,1897000,0,1897000
2007/09/17,0,1211000,0,1211000
2007/09/18,0,0,0,0
2007/09/19,0,2874000,-272000,2602000
2007/09/20,0,1962000,-700000,1262000
2007/09/21,0,210000,-111000,99000
2007/09/24,0,0,0,0
2007/09/25,0,0,0,0
2007/09/26,0,1771000,-11000,1760000
2007/09/27,0,917000,-32000,885000
2007/09/28,0,502000,-32000,470000
2007/10/01,0,300000,-2635000,-2335000
2007/10/02,0,2076000,-15000,2061000
2007/10/03,0,3095000,-3000,3092000
2007/10/04,0,745000,0,745000
2007/10/05,0,335000,-348000,-13000
2007/10/08,0,703000,-43000,660000
2007/10/09,0,1031000,-5000,1026000
2007/10/10,0,0,0,0
2007/10/11,0,1748000,0,1748000
2007/10/12,0,733000,-1572000,-839000
2007/10/15,0,258000,-1311000,-1053000
2007/10/16,0,1286000,-5000,1281000
2007/10/17,0,100000,-5838000,-5738000
2007/10/18,0,225000,0,225000
2007/10/19,0,0,-610000,-610000
2007/10/22,0,578000,0,578000
2007/10/23,0,925000,-2000,923000
2007/10/24,0,35000,-1300000,-1265000
2007/10/25,0,627000,-1050000,-423000
2007/10/26,0,14000,-237000,-223000
2007/10/29,0,546000,0,546000
2007/10/30,0,1557000,-55000,1502000
2007/10/31,0,1883000,-1030000,853000
2007/11/01,0,1408000,-1029000,379000
2007/11/02,0,2365000,-868000,1497000
2007/11/05,0,1614000,-413000,1201000
2007/11/06,0,3055000,-50660,3004340
2007/11/07,0,1010000,0,1010000
2007/11/08,0,419000,-388000,31000
2007/11/09,0,604000,-73000,531000
2007/11/12,0,41000,-180000,-139000
2007/11/13,0,1210000,-400000,810000
2007/11/14,0,1864000,-1875000,-11000
2007/11/15,0,181000,-30000,151000
2007/11/16,0,601000,0,601000
2007/11/19,0,216000,-386000,-170000
2007/11/20,0,63000,-2697000,-2634000
2007/11/21,0,151000,-2005000,-1854000
2007/11/22,0,318000,-3398000,-3080000
2007/11/23,0,98000,-2595000,-2497000
2007/11/26,0,481000,-23000,458000
2007/11/27,0,388000,-143000,245000
2007/11/28,0,67000,-145000,-78000
2007/11/29,0,101000,0,101000
2007/11/30,0,1430000,0,1430000
2007/12/03,0,60000,0,60000
2007/12/04,0,978000,-380000,598000
2007/12/05,0,23000,-956000,-933000
2007/12/06,0,0,-2393000,-2393000
2007/12/07,0,555000,-26976,528024
2007/12/10,0,993000,-279000,714000
2007/12/11,0,362000,-298000,64000
2007/12/12,0,328000,-799000,-471000
2007/12/13,0,287000,-156000,131000
2007/12/14,0,134000,-27000,107000
2007/12/17,0,44000,-642000,-598000
2007/12/18,0,96000,-966000,-870000
2007/12/19,0,451000,-655000,-204000
2007/12/20,0,2000,-585000,-583000
2007/12/21,0,28000,-465000,-437000
2007/12/24,0,118000,-542000,-424000
2007/12/25,0,0,-1293000,-1293000
2007/12/26,0,0,-2060000,-2060000
2007/12/27,0,174000,-998000,-824000
2007/12/28,0,0,-228000,-228000
2007/12/31,0,0,-950000,-950000
2008/01/01,0,0,0,0
2008/01/02,0,0,-213000,-213000
2008/01/03,0,741000,-492000,249000
2008/01/04,0,2359000,-280000,2079000
2008/01/07,0,4280000,0,4280000
2008/01/08,0,4553000,-66000,4487000
2008/01/09,0,2008000,-15000,1993000
2008/01/10,0,123000,-596000,-473000
2008/01/11,0,1156000,-228429,927571
2008/01/14,0,8536000,-1095570,7440430
2008/01/15,0,213000,-160000,53000
2008/01/16,0,11139000,-1488000,9651000
2008/01/17,0,5205000,-5000,5200000
